Doctor Who season,doctor actor,ep. no,episode title,from ,to,estimated?,planet,sub location,location,notes,source,,,,,,,
11,Smith,1,The Eleventh Hour,1999,1996,,Earth,England,London,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
11,Smith,1,The Eleventh Hour,1996,2008,,Earth,England,Leadworth,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
11,Smith,1,The Eleventh Hour,2008,2010,,Earth,England,Leadworth,,http://tardis.wikia.com/wiki/The_Eleventh_Hour,,,,,,,
11,Smith,2,The Beast Below,3295,3295,,space,Starship UK,,,http://tardis.wikia.com/wiki/The_Beast_Below,,,,,,,
11,Smith,3,Victory of the Daleks,1941,1941,,Earth,England,London,,http://tardis.wikia.com/wiki/Victory_of_the_Daleks,,,,,,,
11,Smith,4,The Time of Angels,17000,5000,y,"Dundra System, the Gan Belt",,The Delerium Archive to Alfava Metraxis,,http://tardis.wikia.com/wiki/The_Time_of_Angels,,,,,,,
11,Smith,5,Flesh and Stone,5000,2010,y,Dundra System to Earth,,Alfava Metraxis to Leadworth,,http://tardis.wikia.com/wiki/Flesh_and_Stone,,,,,,,
11,Smith,6,The Vampires of Venice,2010,1580,,Earth,,Leadworth to Venice,,http://tardis.wikia.com/wiki/The_Vampires_of_Venice,,,,,,,
11,Smith,7,Amy's Choice,2015,2010,,Earth,,Leadworth,,http://tardis.wikia.com/wiki/Amy%27s_Choice,,,,,,,
11,Smith,8,The Hungry Earth,2020,2020,,Earth,UK,"Cwmtaff, Wales",,http://tardis.wikia.com/wiki/The_Hungry_Earth,,,,,,,
11,Smith,10,Vincent and the Doctor,1890,2010,,Earth,France,Auvers-sur-Oise to Paris,,http://tardis.wikia.com/wiki/Vincent_and_the_Doctor,,,,,,,
11,Smith,12,The Pandorica Opens,1890,1941,,Earth,,France to London,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,12,The Pandorica Opens,1941,5145,,Earth and other planets,,"London to Stormcage Containment Facility, The Royal Collection and The Maldovarium",,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,12,The Pandorica Opens,5145,102,,Earth,England,to Stonehenge,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,12,The Pandorica Opens,102,2010,,Earth,England and Planet One,Stonehenge to Leadworth and Planet One,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
11,Smith,13,The Big Bang,102,2010,,Earth,England,Stonehenge to Leadworth  ,,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,13,The Big Bang,2010,1996,,Earth,England,"National Museum, London",,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,13,The Big Bang,1996,2010,,Earth,England,"Aickman Road, Colchester",,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
11,Smith,13,The Big Bang,2010,5000,y,,,The Byzantium ,,http://tardis.wikia.com/wiki/The_Big_Bang,,,,,,,
XMAS SPECIAL,,,,,,,,,,,,,,,,,,
11,Smith,Special,A Christmas Carol,4300,2011,y,Earth,USA,,,,,,,,,,
NEW SERIES 6,,,,,,,,,,,,,,,,,,
11,Smith,1,The Impossible Astronaut,2011,1969,y,Earth,England and USA,London to Utah,,,,,,,,,
11,Smith,2,Day of the Moon,1969,1970,,Earth,USA,Utah to Cape Kennedy,,,,,,,,,
11,Smith,3,The Curse of the Black Spot,1699,1699,,Earth,Earth and a parallel Earth,The Fancy (Ship),,,,,,,,,
11,Smith,4,The Doctor's Wife,n/a,n/a,y,House (Planetoid),n/a,Bubble Universe,,,,,,,,,
11,Smith,5,The Rebel Flesh,2100,2100,y,Earth,n/a,n/a,,,,,,,,,
11,Smith,6,The Almost People,2100,2100,y,Earth,n/a,n/a,,,,,,,,,
11,Smith,7,A Good Man Goes to War,5100,5100,y,Asteriod,Demon's Run,Space,,,,,,,,,
11,Smith,8,Let's Kill Hitler,5100,1938,,Earth,Berlin,Germany,,,,,,,,,
11,Smith,9,Night Terrors,2011,2011,,Earth,England,England,,,,,,,,,
11,Smith,10,The Girl Who Waited,2011,n/a,,Two Streams Facilty,Planet Apalapucia,,,,,,,,,,
